#node time(s) x y
0 0.0 210.0 100.0
1 0.0 300.0 100.0
2 0.0 190.0 170.0
3 0.0 220.0 230.0
4 0.0 300.0 230.0
5 0.0 350.00 380.00
5 80.1 350.00 379.73
5 80.2 350.00 379.45
5 80.3 350.00 379.18
5 80.4 350.00 378.90
5 80.5 350.00 378.63
5 80.6 350.00 378.35
5 80.7 350.00 378.08
5 80.8 350.00 377.80
5 80.9 350.00 377.53
5 81.0 350.00 377.25
5 81.1 350.00 376.98
5 81.2 350.00 376.70
5 81.3 350.00 376.43
5 81.4 350.00 376.15
5 81.5 350.00 375.88
5 81.6 350.00 375.60
5 81.7 350.00 375.33
5 81.8 350.00 375.05
5 81.9 350.00 374.78
5 82.0 350.00 374.50
5 82.1 350.00 374.23
5 82.2 350.00 373.95
5 82.3 350.00 373.68
5 82.4 350.00 373.40
5 82.5 350.00 373.13
5 82.6 350.00 372.85
5 82.7 350.00 372.58
5 82.8 350.00 372.30
5 82.9 350.00 372.03
5 83.0 350.00 371.75
5 83.1 350.00 371.48
5 83.2 350.00 371.20
5 83.3 350.00 370.93
5 83.4 350.00 370.65
5 83.5 350.00 370.38
5 83.6 350.00 370.10
5 83.7 350.00 369.83
5 83.8 350.00 369.55
5 83.9 350.00 369.28
5 84.0 350.00 369.00
5 84.1 350.00 368.73
5 84.2 350.00 368.45
5 84.3 350.00 368.18
5 84.4 350.00 367.90
5 84.5 350.00 367.63
5 84.6 350.00 367.35
5 84.7 350.00 367.08
5 84.8 350.00 366.80
5 84.9 350.00 366.53
5 85.0 350.00 366.25
5 85.1 350.00 365.98
5 85.2 350.00 365.70
5 85.3 350.00 365.43
5 85.4 350.00 365.15
5 85.5 350.00 364.88
5 85.6 350.00 364.60
5 85.7 350.00 364.33
5 85.8 350.00 364.05
5 85.9 350.00 363.78
5 86.0 350.00 363.50
5 86.1 350.00 363.23
5 86.2 350.00 362.95
5 86.3 350.00 362.68
5 86.4 350.00 362.40
5 86.5 350.00 362.13
5 86.6 350.00 361.85
5 86.7 350.00 361.58
5 86.8 350.00 361.30
5 86.9 350.00 361.03
5 87.0 350.00 360.75
5 87.1 350.00 360.48
5 87.2 350.00 360.20
5 87.3 350.00 359.93
5 87.4 350.00 359.65
5 87.5 350.00 359.38
5 87.6 350.00 359.10
5 87.7 350.00 358.83
5 87.8 350.00 358.55
5 87.9 350.00 358.28
5 88.0 350.00 358.00
5 88.1 350.00 357.73
5 88.2 350.00 357.45
5 88.3 350.00 357.18
5 88.4 350.00 356.90
5 88.5 350.00 356.63
5 88.6 350.00 356.35
5 88.7 350.00 356.08
5 88.8 350.00 355.80
5 88.9 350.00 355.53
5 89.0 350.00 355.25
5 89.1 350.00 354.98
5 89.2 350.00 354.70
5 89.3 350.00 354.43
5 89.4 350.00 354.15
5 89.5 350.00 353.88
5 89.6 350.00 353.60
5 89.7 350.00 353.33
5 89.8 350.00 353.05
5 89.9 350.00 352.78
5 90.0 350.00 352.50
5 90.1 350.00 352.23
5 90.2 350.00 351.95
5 90.3 350.00 351.68
5 90.4 350.00 351.40
5 90.5 350.00 351.13
5 90.6 350.00 350.85
5 90.7 350.00 350.58
5 90.8 350.00 350.30
5 90.9 350.00 350.03
5 91.0 350.00 349.75
5 91.1 350.00 349.48
5 91.2 350.00 349.20
5 91.3 350.00 348.93
5 91.4 350.00 348.65
5 91.5 350.00 348.38
5 91.6 350.00 348.10
5 91.7 350.00 347.83
5 91.8 350.00 347.55
5 91.9 350.00 347.28
5 92.0 350.00 347.00
5 92.1 350.00 346.73
5 92.2 350.00 346.45
5 92.3 350.00 346.18
5 92.4 350.00 345.90
5 92.5 350.00 345.63
5 92.6 350.00 345.35
5 92.7 350.00 345.08
5 92.8 350.00 344.80
5 92.9 350.00 344.53
5 93.0 350.00 344.25
5 93.1 350.00 343.98
5 93.2 350.00 343.70
5 93.3 350.00 343.43
5 93.4 350.00 343.15
5 93.5 350.00 342.88
5 93.6 350.00 342.60
5 93.7 350.00 342.33
5 93.8 350.00 342.05
